Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label,Source_PCAP
2175150183685601,23.487228870391846,948,197967,1714936,2017.8301687763712,0.3148445303313308,896.4985805218259,3.927964185492523,0.49156118143459915,1,spotify1.pcap
5049878682111126,29.928014993667603,6,198,229,71.16666666666667,11.92438996159765,0.24998363984097915,1.7888543819998308,0.5,1,spotify1.pcap
2687667094618667,0.025638818740844727,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
9589408543013146,0.1087808609008789,2,54,60,57.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
4678734942892553,0.02553701400756836,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
4686101287332326,0.038659095764160156,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
9793432001131218,20.10094904899597,2,172,0,86.0,0.0,0.0,0.0,1.0,1,spotify1.pcap
1286897000057641,0.05077409744262695,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
5779389046149773,0.05196094512939453,7,590,375,137.85714285714286,0.01206672126918905,-1.498706897887153,1.3101277255226893,0.5714285714285714,1,spotify1.pcap
6588901277943345,0.17133402824401855,17,1577,6367,467.29411764705884,0.016672272156214408,3.6632089256128513,1.708687543965954,0.5294117647058824,1,spotify1.pcap
1788233270764523,0.05297398567199707,7,707,540,178.14285714285714,0.012145729780739205,-1.4994736585149728,1.0258739424095569,0.5714285714285714,1,spotify1.pcap
7788173062612529,0.038073062896728516,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
1940475540745038,0.15337896347045898,32,1720,18787,640.84375,0.010425491254492606,2.2210221699714445,0.33847761273757704,0.46875,1,spotify1.pcap
3178824191023374,0.1573340892791748,32,1720,19347,658.34375,0.010873814124156979,2.3697084831612223,0.25767447093831397,0.46875,1,spotify1.pcap
7222042459985814,0.25347399711608887,34,2236,22473,726.7352941176471,0.01346302126741057,1.5855111968489535,1.582467720686383,0.47058823529411764,1,spotify1.pcap
2928701250074712,0.1339108943939209,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
2775162877512472,0.14125990867614746,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
525204549680174,0.1342029571533203,2,66,66,66.0,0.0,0.0,0.0,0.5,1,spotify1.pcap
