Flow_ID,Duration_s,Total_Packets,Bytes_AB,Bytes_BA,Mean_Pkt_Len,STD_IAT,Kurtosis_IAT,Skewness_Pkt_Len,Direction_Ratio,Label,Source_PCAP
2175150183685601,37.60080909729004,964,199429,1716994,1987.990663900415,0.4068115293761653,418.58829990005063,3.9577281442774344,0.4927385892116183,1,spotify1.pcap
9793432001131218,50.122857093811035,3,258,0,86.0,4.960479497909546,0.0,,1.0,1,spotify1.pcap
2687667094618667,45.14604091644287,4,132,132,66.0,21.245553333900418,0.0,,0.5,1,spotify1.pcap
9589408543013146,45.22050595283508,4,108,120,57.0,21.16067677211048,0.0,0.0,0.5,1,spotify1.pcap
5779389046149773,45.145406007766724,9,656,441,121.88888888888889,14.901320953633016,3.142850033069796,1.6984794433954362,0.5555555555555556,1,spotify1.pcap
6588901277943345,45.19268989562988,19,1643,6433,425.05263157894734,10.305087093743737,13.058747713836578,1.8746343645588643,0.5263157894736842,1,spotify1.pcap
1788233270764523,45.175398111343384,9,773,606,153.22222222222223,14.910920191821894,3.1428500286589864,1.4129423818048257,0.5555555555555556,1,spotify1.pcap
7788173062612529,45.09432315826416,4,132,132,66.0,21.2037402318538,0.0,,0.5,1,spotify1.pcap
1940475540745038,45.16618990898132,34,1786,18853,607.0294117647059,7.710898722319039,28.031131763342298,0.4409101188249815,0.47058823529411764,1,spotify1.pcap
3178824191023374,45.16618299484253,34,1786,19413,623.5,7.710196829375139,28.03112254433515,0.3631203781188526,0.47058823529411764,1,spotify1.pcap
7222042459985814,45.23973107337952,36,2302,22539,690.0277777777778,7.488923151203679,30.029199818917633,1.6471232541179848,0.4722222222222222,1,spotify1.pcap
9898096820820195,48.824381828308105,25,5389,6783,486.88,8.988759509538024,18.77721970249217,0.7663106090583736,0.56,1,spotify1.pcap
7193167813681323,45.148749113082886,16,3191,1776,310.4375,11.21165790086095,10.071385323939172,1.6818584982651414,0.5625,1,spotify1.pcap
2871805606526594,45.08097696304321,4,132,132,66.0,21.21619215291932,0.0,,0.5,1,spotify1.pcap
7281133552102133,45.081697940826416,4,132,132,66.0,21.215518814903024,0.0,,0.5,1,spotify1.pcap
9754345452629865,45.081225872039795,4,132,132,66.0,21.216141239824427,0.0,,0.5,1,spotify1.pcap
5150276922723482,45.08164191246033,4,132,132,66.0,21.215671948528048,0.0,,0.5,1,spotify1.pcap
5687634107318496,45.092511892318726,4,132,132,66.0,21.20520446951777,0.0,,0.5,1,spotify1.pcap
3424407341219645,51.525551080703735,282,15969,456534,1675.5425531914893,2.692811554656077,270.43871665405476,1.2208411439266686,0.4397163120567376,1,spotify1.pcap
143327519949819,45.08091616630554,4,132,132,66.0,21.216195861840827,0.0,,0.5,1,spotify1.pcap
1419790835128414,45.081515073776245,4,132,132,66.0,21.21566155220874,0.0,,0.5,1,spotify1.pcap
2519634142980974,51.543055057525635,343,22953,621780,1879.6880466472303,2.4410240323792283,330.6096591091882,1.3364601172128991,0.47230320699708456,1,spotify1.pcap
7602258851395455,51.5430269241333,249,14672,400413,1667.008032128514,2.8648039675776555,238.07075639159774,1.263345634084823,0.44176706827309237,1,spotify1.pcap
4624648510799315,51.54115605354309,319,19504,577062,1870.1128526645768,2.5321061623075622,306.66575430369625,1.0944960798340169,0.43260188087774293,1,spotify1.pcap
3589667977917991,51.524227142333984,235,14210,415689,1829.3574468085105,2.9494976966972617,224.2984610884977,1.8709779298399347,0.43829787234042555,1,spotify1.pcap
7830154034177833,51.59113097190857,256,14936,413208,1672.4375,2.8257233252394403,244.95273971044688,1.316851196062258,0.4453125,1,spotify1.pcap
1892956865225409,45.13994884490967,4,132,132,66.0,21.17775782418408,0.0,,0.5,1,spotify1.pcap
1849269256934795,45.20654511451721,4,132,132,66.0,21.196544762046535,0.0,,0.5,1,spotify1.pcap
3604000059344404,45.08154106140137,4,132,132,66.0,21.21554297909727,0.0,,0.5,1,spotify1.pcap
9275351417618079,45.094852924346924,4,132,132,66.0,21.203264704165104,0.0,,0.5,1,spotify1.pcap
8713534838533055,45.08096098899841,4,132,132,66.0,21.216058687922803,0.0,,0.5,1,spotify1.pcap
6090159407501914,45.08101415634155,4,132,132,66.0,21.21468280180323,0.0,,0.5,1,spotify1.pcap
